paper_id	title	note_path	primary_module_for_filing	classification_anchor	object_coverage_mode	general_method_bucket	note_status	source_limited	pdf_exists	citation_priority	queue_reasons	priority_score
ASD-0857	Machine Collective Intelligence for Explainable Scientific Discovery	Notes/01_Formal_Information_and_Computational_Sciences/Na_2026_Machine_Collective_Intelligence.md	02	02;03;04;06;09	multi_module	none	updated	no	yes	standard	multi_module_note_wording_check	40
ASD-0869	STRIDE: A Self-Reflective Agent Framework for Reliable Automatic Equation Discovery	Notes/01_Formal_Information_and_Computational_Sciences/Su_2026_STRIDE_Equation_Discovery.md	02	02;03;04;06	multi_module	none	updated	no	yes	standard	multi_module_note_wording_check	40
ASD-0870	SR-Scientist: Scientific Equation Discovery With Agentic AI	Notes/01_Formal_Information_and_Computational_Sciences/Xia_2025_SR_Scientist.md	02	02;03;04;06	multi_module	none	updated	no	yes	standard	multi_module_note_wording_check	40
ASD-0871	The Denario project: Deep knowledge AI agents for scientific discovery	Notes/01_Formal_Information_and_Computational_Sciences/Unknown_2025_Denario.md	02	02;03;04;06;07	multi_module	none	updated	no	yes	standard	multi_module_note_wording_check	40
ASD-0003	CheMatAgent: Enhancing LLMs for Chemistry and Materials Science through Tree-Search Based Tool Learning	Notes/03_Chemical_Sciences/Wu_2025_ChemAgent.md	03	03;04	multi_module	none	updated	no	yes	standard	multi_module_note_wording_check	40
ASD-0112	CSSTep: Step-by-step exploration of the chemical space of drug molecules via multi-agent and multi-stage reinforcement learning	Notes/07_Medical_and_Health_Sciences/Che_2025_CSSTep.md	03	03	single_module	none	updated_source_limited	yes	no	standard	source_limited_note_refresh;source_limited_wording_confirmation	40
ASD-0117	OSDA agent: Leveraging large language models for de novo design of organic structure directing agents	Notes/03_Chemical_Sciences/Hu_2025_OSDA_Agent.md	03	03;04	multi_module	none	updated	no	yes	standard	multi_module_note_wording_check	40
ASD-0603	Reconfigurable system for automated optimization of diverse chemical reactions	Notes/03_Chemical_Sciences/Bedard_2018_Reconfigurable_Reaction_Optimization.md	03	03	single_module	none	updated_source_limited	yes	no	standard	source_limited_note_refresh;source_limited_wording_confirmation	40
ASD-0740	Discovery of tunable and soluble organic emitters for solid-state lasers with a self-driving laboratory	Notes/03_Chemical_Sciences/Park_2026_Organic_Emitters_SelfDriving_Lab.md	03	03;04	multi_module	none	updated	no	yes	standard	multi_module_note_wording_check	40
ASD-0818	MolMem: Memory-Augmented Agentic Reinforcement Learning for Sample-Efficient Molecular Optimization	Notes/03_Chemical_Sciences/Wang_2026_MolMem.md	03	03;07	multi_module	none	updated	no	yes	standard	multi_module_note_wording_check	40
ASD-0819	SEISMO: Increasing Sample Efficiency in Molecular Optimization with a Trajectory-Aware LLM Agent	Notes/03_Chemical_Sciences/Kruger_2026_SEISMO.md	03	03;07	multi_module	none	updated	no	yes	standard	multi_module_note_wording_check	40
ASD-0821	Agentic reinforcement learning empowers next-generation chemical language models for molecular design and synthesis	Notes/03_Chemical_Sciences/Li_2026_ChemCraft.md	03	03;07	multi_module	none	updated	no	yes	standard	multi_module_note_wording_check	40
ASD-0116	Electromagnetic metamaterial agent	Notes/04_Materials_Science/Hu_2025_Electromagnetic_Metamaterial_Agent.md	04	04;09	multi_module	none	updated	no	yes	standard	multi_module_note_wording_check	40
ASD-0385	AlphaFlow: autonomous discovery and optimization of multi-step chemistry using a self-driven fluidic lab guided by reinforcement learning	Notes/04_Materials_Science/Volk_2023_AlphaFlow_Nanoparticle_Growth.md	04	03;04	multi_module	none	updated	no	yes	standard	multi_module_note_wording_check	40
ASD-0466	Discovery of Wall-Selective Carbon Nanotube Growth Conditions <i>via</i> Automated Experimentation	Notes/04_Materials_Science/Nikolaev_2014_CNT_Wall_Selectivity.md	04	04	single_module	none	updated_source_limited	yes	yes	standard	source_limited_note_refresh;source_limited_wording_confirmation	40
ASD-0520	Bayesian learning-assisted catalyst discovery for efficient iridium utilization in electrochemical water splitting	Notes/04_Materials_Science/Niu_2025_Bayesian_Catalyst_Discovery_Iridium.md	04	03;04	multi_module	none	updated	no	yes	standard	multi_module_note_wording_check	40
ASD-0522	Evaluating large language model agents for automation of atomic force microscopy	Notes/04_Materials_Science/Mandal_2024_AILA_Autonomous_Microscopy.md	04	04;09	multi_module	none	updated	no	yes	standard	multi_module_note_wording_check	40
ASD-0539	Accelerating materials discovery via AI-Agent integration of large language models and simulation tools	Notes/04_Materials_Science/Wang_2026_AI_Agent_Materials_Discovery.md	04	03;04	multi_module	none	updated	no	yes	standard	multi_module_note_wording_check	40
ASD-0547	Closed-loop experimental AI for pixelated metasurface design	Notes/04_Materials_Science/Lee_2026_Closed_Loop_Pixelated_Metasurface_Design.md	04	04	single_module	none	updated_source_limited	yes	no	standard	source_limited_note_refresh;source_limited_wording_confirmation	40
ASD-0569	Autonomous Nanocrystal Doping by Self-Driving Fluidic Micro-Processors	Notes/04_Materials_Science/Bateni_2022_Autonomous_Nanocrystal_Doping.md	04	04	single_module	none	updated_source_limited	yes	no	standard	source_limited_note_refresh;source_limited_wording_confirmation	40
ASD-0739	Autonomous microfluidic experimentation for exploring reaction inference and synthesizing double perovskite nanoplatelets	Notes/04_Materials_Science/Sharma_2026_Double_Perovskite_Nanoplatelets.md	04	03;04	multi_module	none	updated	no	yes	standard	multi_module_note_wording_check	40
ASD-0811	Closed-Loop Molecular Design with Calibrated Deference	Notes/04_Materials_Science/Unknown_2026_CLIO.md	04	03;04	multi_module	none	updated	no	yes	standard	multi_module_note_wording_check	40
ASD-0651	AI Driven Discovery of Bio Ecological Mediation in Cascading Heatwave Risks	Notes/05_Earth_and_Environmental_Sciences/Wang_2025_Heatwave_Discovery_Agent.md	05	05;11	multi_module	none	updated	no	yes	standard	multi_module_note_wording_check	40
ASD-0722	An Autonomous Earth-Observing Sensorweb	Notes/10_Aerospace_Marine_and_Transportation_Sciences/Chien_2005_Autonomous_Earth_Observing_Sensorweb.md	05	05;10	multi_module	none	updated	no	yes	standard	multi_module_note_wording_check	40
ASD-0727	GeoAgentic-RAG: A Multi-Agent framework for autonomous geospatial reasoning and visual insight generation with LLM	Notes/05_Earth_and_Environmental_Sciences/Liang_2026_GeoAgentic_RAG.md	05	05	single_module	none	updated_source_limited	yes	no	standard	source_limited_note_refresh;source_limited_wording_confirmation	40
ASD-0803	ClimateAgents: A Multi-Agent Research Assistant for Social-Climate Dynamics Analysis	Notes/05_Earth_and_Environmental_Sciences/Shan_2026_ClimateAgents.md	05	05;11	multi_module	none	updated	no	yes	standard	multi_module_note_wording_check	40
ASD-0859	Monitoring active volcanism with the Autonomous Sciencecraft Experiment on EO-1	Notes/05_Earth_and_Environmental_Sciences/Davies_2006_EO1_Volcanism_Monitoring.md	05	05	single_module	none	updated_source_limited	yes	no	standard	source_limited_note_refresh;source_limited_wording_confirmation	40
ASD-0860	Autonomous detection of cryospheric change with hyperion on-board Earth Observing-1	Notes/05_Earth_and_Environmental_Sciences/Doggett_2006_EO1_Cryospheric_Change.md	05	05	single_module	none	updated_source_limited	yes	no	standard	source_limited_note_refresh;source_limited_wording_confirmation	40
ASD-0861	Flood detection and monitoring with the Autonomous Sciencecraft Experiment onboard EO-1	Notes/05_Earth_and_Environmental_Sciences/Ip_2006_EO1_Flood_Detection.md	05	05	single_module	none	updated_source_limited	yes	no	standard	source_limited_note_refresh;source_limited_wording_confirmation	40
ASD-0141	TransAgent: Dynamizing transcriptional regulation analysis via multi-omics-aware AI agent	Notes/06_Life_Sciences/Zhang_2025_TransAgent_Transcriptional_Regulation.md	06	06;07	multi_module	none	updated	no	yes	standard	multi_module_note_wording_check	40
