module_code	module_rank	paper_id	title	year	source	citation_priority	evidence_status	pdf_exists	note_exists	source_limited	object_coverage_mode	primary_module_for_filing	representative_score	score_reasons
01	1	ASD-0013	The ai scientist-v2: Workshop-level automated scientific discovery via agentic tree search	2025	arXiv	core	first_hand_full_text	yes	yes	no	single_module	01	72	citation=core;evidence=first_hand_full_text;local_pdf;local_note;not_source_limited;primary_filing_match;single_module_anchor
01	2	ASD-0018	Agent laboratory: Using llm agents as research assistants	2025	arXiv	core	first_hand_full_text	yes	yes	no	single_module	01	72	citation=core;evidence=first_hand_full_text;local_pdf;local_note;not_source_limited;primary_filing_match;single_module_anchor
01	3	ASD-0019	Agentrxiv: Towards collaborative autonomous research	2025	arXiv	core	first_hand_full_text	yes	yes	no	single_module	01	72	citation=core;evidence=first_hand_full_text;local_pdf;local_note;not_source_limited;primary_filing_match;single_module_anchor
01	4	ASD-0032	Codescientist: End-to-end semi-automated scientific discovery with code-based experimentation	2025	arXiv	core	first_hand_full_text	yes	yes	no	single_module	01	72	citation=core;evidence=first_hand_full_text;local_pdf;local_note;not_source_limited;primary_filing_match;single_module_anchor
01	5	ASD-0048	Dolphin: Closed-loop open-ended auto-research through thinking, practice, and feedback	2025	arXiv	core	first_hand_full_text	yes	yes	no	single_module	01	72	citation=core;evidence=first_hand_full_text;local_pdf;local_note;not_source_limited;primary_filing_match;single_module_anchor
02	1	ASD-0058	Astroagents: A multi-agent ai for hypothesis generation from mass spectrometry data	2025	arXiv	core	first_hand_full_text	yes	yes	no	single_module	02	72	citation=core;evidence=first_hand_full_text;local_pdf;local_note;not_source_limited;primary_filing_match;single_module_anchor
02	2	ASD-0090	Agents for self-driving laboratories applied to quantum computing	2024	arXiv	core	first_hand_full_text	yes	yes	no	single_module	02	72	citation=core;evidence=first_hand_full_text;local_pdf;local_note;not_source_limited;primary_filing_match;single_module_anchor
02	3	ASD-0687	Agentic AI for Multi-Stage Physics Experiments at a Large-Scale User Facility Particle Accelerator	2025	arXiv	core	first_hand_full_text	yes	yes	no	single_module	02	72	citation=core;evidence=first_hand_full_text;local_pdf;local_note;not_source_limited;primary_filing_match;single_module_anchor
02	4	ASD-0062	Empowering scientific workflows with federated agents	2025	arXiv	core	first_hand_full_text	yes	yes	no	multi_module	01	66	citation=core;evidence=first_hand_full_text;local_pdf;local_note;not_source_limited
02	5	ASD-0151	Self-driving lab discovers principles for steering spontaneous emission beyond conventional Fourier optics	2026	Nature Communications	core	first_hand_full_text	yes	yes	no	multi_module	04	66	citation=core;evidence=first_hand_full_text;local_pdf;local_note;not_source_limited
03	1	ASD-0010	El Agente: An Autonomous Agent for Quantum Chemistry	2025	arXiv	core	first_hand_full_text	yes	yes	no	single_module	03	72	citation=core;evidence=first_hand_full_text;local_pdf;local_note;not_source_limited;primary_filing_match;single_module_anchor
03	2	ASD-0012	Large language models for chemistry robotics	2023	Unknown	core	first_hand_html_full_text	yes	yes	no	single_module	03	72	citation=core;evidence=first_hand_html_full_text;local_pdf;local_note;not_source_limited;primary_filing_match;single_module_anchor
03	3	ASD-0022	Chemgraph: An agentic framework for computational chemistry workflows	2025	arXiv	core	first_hand_full_text	yes	yes	no	single_module	03	72	citation=core;evidence=first_hand_full_text;local_pdf;local_note;not_source_limited;primary_filing_match;single_module_anchor
03	4	ASD-0036	Organa: A robotic assistant for automated chemistry experimentation and characterization	2024	arXiv	core	first_hand_full_text	yes	yes	no	single_module	03	72	citation=core;evidence=first_hand_full_text;local_pdf;local_note;not_source_limited;primary_filing_match;single_module_anchor
03	5	ASD-0037	Autonomous mobile robots for exploratory synthetic chemistry	2024	Nature	core	first_hand_html_full_text	yes	yes	no	single_module	03	72	citation=core;evidence=first_hand_html_full_text;local_pdf;local_note;not_source_limited;primary_filing_match;single_module_anchor
04	1	ASD-0001	Toward Greater Autonomy in Materials Discovery Agents: Unifying Planning, Physics, and Scientists	2025	arXiv	core	first_hand_full_text	yes	yes	no	single_module	04	72	citation=core;evidence=first_hand_full_text;local_pdf;local_note;not_source_limited;primary_filing_match;single_module_anchor
04	2	ASD-0009	Agent-based learning of materials datasets from the scientific literature	2024	Digital Discovery	core	first_hand_full_text	yes	yes	no	single_module	04	72	citation=core;evidence=first_hand_full_text;local_pdf;local_note;not_source_limited;primary_filing_match;single_module_anchor
04	3	ASD-0016	An autonomous laboratory for the accelerated synthesis of novel materials	2023	Nature	core	first_hand_full_text	yes	yes	no	single_module	04	72	citation=core;evidence=first_hand_full_text;local_pdf;local_note;not_source_limited;primary_filing_match;single_module_anchor
04	4	ASD-0031	Llmatdesign: Autonomous materials discovery with large language models	2024	arXiv	core	first_hand_full_text	yes	yes	no	single_module	04	72	citation=core;evidence=first_hand_full_text;local_pdf;local_note;not_source_limited;primary_filing_match;single_module_anchor
04	5	ASD-0046	Topomas: Large language model driven topological materials multiagent system	2025	arXiv	core	first_hand_full_text	yes	yes	no	single_module	04	72	citation=core;evidence=first_hand_full_text;local_pdf;local_note;not_source_limited;primary_filing_match;single_module_anchor
05	1	ASD-0653	Earth-Agent: Unlocking the Full Landscape of Earth Observation with Agents	2025	arXiv / ICLR 2026 conference paper	core	first_hand_full_text	yes	yes	no	single_module	05	72	citation=core;evidence=first_hand_full_text;local_pdf;local_note;not_source_limited;primary_filing_match;single_module_anchor
05	2	ASD-0662	Mimosa Framework: Toward Evolving Multi-Agent Systems for Scientific Research	2026	arXiv	core	first_hand_full_text	yes	yes	no	multi_module	01	66	citation=core;evidence=first_hand_full_text;local_pdf;local_note;not_source_limited
05	3	ASD-0691	OASIS: Onboard Autonomous Science Investigation System for Opportunistic Rover Science	2007	Journal of Field Robotics	core	first_hand_full_text	yes	yes	no	multi_module	10	66	citation=core;evidence=first_hand_full_text;local_pdf;local_note;not_source_limited
05	4	ASD-0693	Enabling Onboard Detection of Events of Scientific Interest for the Europa Clipper Spacecraft	2019	KDD '19	core	first_hand_full_text	yes	yes	no	multi_module	10	66	citation=core;evidence=first_hand_full_text;local_pdf;local_note;not_source_limited
05	5	ASD-0696	AEGIS Automated Science Targeting for the MER Opportunity Rover	2012	ACM Transactions on Intelligent Systems and Technology	core	first_hand_full_text	yes	yes	no	multi_module	10	66	citation=core;evidence=first_hand_full_text;local_pdf;local_note;not_source_limited
06	1	ASD-0014	Spatialagent: An autonomous ai agent for spatial biology	2025	bioRxiv	core	first_hand_full_text	yes	yes	no	single_module	06	72	citation=core;evidence=first_hand_full_text;local_pdf;local_note;not_source_limited;primary_filing_match;single_module_anchor
06	2	ASD-0020	Biodiscoveryagent: An ai agent for designing genetic perturbation experiments	2024	arXiv	core	first_hand_full_text	yes	yes	no	single_module	06	72	citation=core;evidence=first_hand_full_text;local_pdf;local_note;not_source_limited;primary_filing_match;single_module_anchor
06	3	ASD-0033	Omnicellagent: Towards ai co-scientists for scientific discovery in precision medicine	2025	Unknown	core	first_hand_html_full_text	yes	yes	no	single_module	06	72	citation=core;evidence=first_hand_html_full_text;local_pdf;local_note;not_source_limited;primary_filing_match;single_module_anchor
06	4	ASD-0051	Geneagent: Self-verification language agent for gene set knowledge discovery using domain databases	2024	arXiv	core	first_hand_full_text	yes	yes	no	single_module	06	72	citation=core;evidence=first_hand_full_text;local_pdf;local_note;not_source_limited;primary_filing_match;single_module_anchor
06	5	ASD-0055	Biomaster: Multi-agent system for automated bioinformatics analysis workflow	2025	bioRxiv	core	first_hand_full_text	yes	yes	no	single_module	06	72	citation=core;evidence=first_hand_full_text;local_pdf;local_note;not_source_limited;primary_filing_match;single_module_anchor
07	1	ASD-0002	HealthFlow: A Self-Evolving AI Agent with Meta Planning for Autonomous Healthcare Research	2025	arXiv	core	first_hand_full_text	yes	yes	no	single_module	07	72	citation=core;evidence=first_hand_full_text;local_pdf;local_note;not_source_limited;primary_filing_match;single_module_anchor
07	2	ASD-0017	Can ai agents design and implement drug discovery pipelines?	2025	arXiv	core	first_hand_full_text	yes	yes	no	single_module	07	72	citation=core;evidence=first_hand_full_text;local_pdf;local_note;not_source_limited;primary_filing_match;single_module_anchor
07	3	ASD-0041	Liddia: Language-based intelligent drug discovery agent	2025	arXiv	core	first_hand_full_text	yes	yes	no	single_module	07	72	citation=core;evidence=first_hand_full_text;local_pdf;local_note;not_source_limited;primary_filing_match;single_module_anchor
07	4	ASD-0077	Stella: Self-evolving llm agent for biomedical research	2025	arXiv	core	first_hand_full_text	yes	yes	no	single_module	07	72	citation=core;evidence=first_hand_full_text;local_pdf;local_note;not_source_limited;primary_filing_match;single_module_anchor
07	5	ASD-0079	DrugAgent: Multi-Agent Large Language Model-Based Reasoning for Drug-Target Interaction Prediction	2024	arXiv	core	first_hand_full_text	yes	yes	no	single_module	07	72	citation=core;evidence=first_hand_full_text;local_pdf;local_note;not_source_limited;primary_filing_match;single_module_anchor
08	1	ASD-0634	Aleks: AI powered Multi Agent System for Autonomous Scientific Discovery via Data-Driven Approaches in Plant Science	2025	arXiv	standard	first_hand_full_text_via_arxiv_fallback	yes	yes	no	single_module	08	62	citation=standard;evidence=first_hand_full_text_via_arxiv_fallback;local_pdf;local_note;not_source_limited;primary_filing_match;single_module_anchor
08	2	ASD-0695	FoodPuzzle: Developing Large Language Model Agents as Flavor Scientists	2024	arXiv	standard	first_hand_full_text	yes	yes	no	single_module	08	62	citation=standard;evidence=first_hand_full_text;local_pdf;local_note;not_source_limited;primary_filing_match;single_module_anchor
08	3	ASD-0510	A conversational multi-agent AI system for automated plant phenotyping	2026	Nature Communications	core	first_hand_article_page	yes	yes	no	multi_module	08	54	citation=core;local_pdf;local_note;not_source_limited;primary_filing_match
08	4	ASD-0650	OpenEarth-Agent: From Tool Calling to Tool Creation for Open-Environment Earth Observation	2026	arXiv	core	first_hand_preprint_pdf_review_packet	yes	yes	no	multi_module	05	50	citation=core;local_pdf;local_note;not_source_limited
09	1	ASD-0057	Autochemschematic ai: A closed-loop, physics-aware agentic framework for auto-generating chemical process and instrumentation diagrams	2025	arXiv	core	first_hand_full_text	yes	yes	no	single_module	09	72	citation=core;evidence=first_hand_full_text;local_pdf;local_note;not_source_limited;primary_filing_match;single_module_anchor
09	2	ASD-0504	A Bayesian experimental autonomous researcher for mechanical design	2020	Science Advances	core	first_hand_full_text	yes	yes	no	single_module	09	72	citation=core;evidence=first_hand_full_text;local_pdf;local_note;not_source_limited;primary_filing_match;single_module_anchor
09	3	ASD-0789	TEM Agent: enhancing transmission electron microscopy with modern AI tools	2026	npj Computational Materials	core	first_hand_full_text	yes	yes	no	single_module	09	72	citation=core;evidence=first_hand_full_text;local_pdf;local_note;not_source_limited;primary_filing_match;single_module_anchor
09	4	ASD-0511	Operating advanced scientific instruments with AI agents that learn on the job	2026	npj Computational Materials	core	first_hand_full_text	yes	yes	no	multi_module	09	70	citation=core;evidence=first_hand_full_text;local_pdf;local_note;not_source_limited;primary_filing_match
09	5	ASD-0004	InternAgent: When Agent Becomes the Scientist -- Building Closed-Loop System from Hypothesis to Verification	2025	arXiv	core	first_hand_full_text	yes	yes	no	multi_module	01	66	citation=core;evidence=first_hand_full_text;local_pdf;local_note;not_source_limited
10	1	ASD-0712	Enabling Autonomous Rover Science Through Dynamic Planning and Scheduling	2005	IEEE Aerospace Conference	core	first_hand_full_text	yes	yes	no	single_module	10	72	citation=core;evidence=first_hand_full_text;local_pdf;local_note;not_source_limited;primary_filing_match;single_module_anchor
10	2	ASD-0713	Demonstrating Autonomy for Complex Space Missions: A Europa Lander Mission Autonomy Prototype	2024	Journal of Aerospace Information Systems	core	first_hand_full_text	yes	yes	no	single_module	10	72	citation=core;evidence=first_hand_full_text;local_pdf;local_note;not_source_limited;primary_filing_match;single_module_anchor
10	3	ASD-0691	OASIS: Onboard Autonomous Science Investigation System for Opportunistic Rover Science	2007	Journal of Field Robotics	core	first_hand_full_text	yes	yes	no	multi_module	10	70	citation=core;evidence=first_hand_full_text;local_pdf;local_note;not_source_limited;primary_filing_match
10	4	ASD-0693	Enabling Onboard Detection of Events of Scientific Interest for the Europa Clipper Spacecraft	2019	KDD '19	core	first_hand_full_text	yes	yes	no	multi_module	10	70	citation=core;evidence=first_hand_full_text;local_pdf;local_note;not_source_limited;primary_filing_match
10	5	ASD-0696	AEGIS Automated Science Targeting for the MER Opportunity Rover	2012	ACM Transactions on Intelligent Systems and Technology	core	first_hand_full_text	yes	yes	no	multi_module	10	70	citation=core;evidence=first_hand_full_text;local_pdf;local_note;not_source_limited;primary_filing_match
11	1	ASD-0654	HLER: Human-in-the-Loop Economic Research via Multi-Agent Pipelines for Empirical Discovery	2026	arXiv / SSRN	core	first_hand_full_text	yes	yes	no	single_module	11	72	citation=core;evidence=first_hand_full_text;local_pdf;local_note;not_source_limited;primary_filing_match;single_module_anchor
11	2	ASD-0656	AI-Assisted Peer Review at Scale: The AAAI-26 AI Review Pilot	2026	arXiv	core	first_hand_full_text	yes	yes	no	single_module	11	72	citation=core;evidence=first_hand_full_text;local_pdf;local_note;not_source_limited;primary_filing_match;single_module_anchor
11	3	ASD-0658	Read the Paper, Write the Code: Agentic Reproduction of Social-Science Results	2026	arXiv	core	first_hand_full_text	yes	yes	no	single_module	11	72	citation=core;evidence=first_hand_full_text;local_pdf;local_note;not_source_limited;primary_filing_match;single_module_anchor
11	4	ASD-0699	ARA: Agentic Reproducibility Assessment For Scalable Support Of Scientific Peer-Review	2026	arXiv	core	first_hand_full_text	yes	yes	no	single_module	11	72	citation=core;evidence=first_hand_full_text;local_pdf;local_note;not_source_limited;primary_filing_match;single_module_anchor
11	5	ASD-0704	PaperRepro: Automated Computational Reproducibility Assessment for Social Science Papers	2026	arXiv	core	first_hand_full_text	yes	yes	no	single_module	11	72	citation=core;evidence=first_hand_full_text;local_pdf;local_note;not_source_limited;primary_filing_match;single_module_anchor
