"Category","File","Paper","Source","Path"
"benchmarks","AgentReview_2024.md","AgentReview: Exploring Peer Review Dynamics with LLM Agents","EMNLP 2024 Main Track (Oral), arXiv: 2406.12708","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\benchmarks\AgentReview_2024.md"
"benchmarks","AI_Idea_Bench_2025.md","AI Idea Bench 2025: AI Research Idea Generation Benchmark","arXiv:2504.14191","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\benchmarks\AI_Idea_Bench_2025.md"
"benchmarks","AutoSurvey_2024.md","AutoSurvey: Large Language Models Can Automatically Write Surveys","arXiv:2406.10252","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\benchmarks\AutoSurvey_2024.md"
"benchmarks","Benchmarking_SDL_2026.md","Benchmarking Self-Driving Labs","Digital Discovery, doi:10.1039/D5DD00337G","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\benchmarks\Benchmarking_SDL_2026.md"
"benchmarks","BrowseComp_2025.md","BrowseComp: A Simple Yet Challenging Benchmark for Browsing Agents","arXiv:2504.12516","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\benchmarks\BrowseComp_2025.md"
"benchmarks","ChemCost_2026.md","Can Agents Price a Reaction? Evaluating LLMs on Chemical Cost Reasoning","arXiv:2605.07251","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\benchmarks\ChemCost_2026.md"
"benchmarks","CORE_Bench_2024.md","CORE-Bench: Fostering the Credibility of Published Research Through a Computational Reproducibility Agent Benchmark","arXiv:2409.11363","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\benchmarks\CORE_Bench_2024.md"
"benchmarks","GAIA_2023.md","GAIA: A Benchmark for General AI Assistants","arXiv:2311.12983v1","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\benchmarks\GAIA_2023.md"
"benchmarks","HLE_2025.md","Humanity's Last Exam (HLE)","arXiv: 2501.14249v10; Nature, vol. 649, pp. 1139–1146 (2026); https://lastexam.ai / Scale Labs leaderboard","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\benchmarks\HLE_2025.md"
"benchmarks","IdeaBench_2024.md","IdeaBench: Benchmarking Large Language Models for Research Idea Generation","arXiv:2411.02429","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\benchmarks\IdeaBench_2024.md"
"benchmarks","LiveIdeaBench_2026.md","Evaluating LLMs' Divergent Thinking Capabilities for Scientific Idea Generation with Minimal Context","Nature Communications, doi:10.1038/s41467-026-70245-1; arXiv:2412.17596v4","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\benchmarks\LiveIdeaBench_2026.md"
"benchmarks","MLAgentBench_2024.md","MLAgentBench: Evaluating Language Agents on Machine Learning Experimentation","arXiv:2310.03302","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\benchmarks\MLAgentBench_2024.md"
"benchmarks","MLE_Bench_2024.md","MLE-bench: Evaluating Machine Learning Agents on Machine Learning Engineering","arXiv:2410.07095","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\benchmarks\MLE_Bench_2024.md"
"benchmarks","Paper2Code_2025.md","Paper2Code: Automating Code Generation from Scientific Papers in Machine Learning","arXiv:2504.17192 (ICLR 2026 accepted)","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\benchmarks\Paper2Code_2025.md"
"benchmarks","PaperBench_2025.md","PaperBench: Evaluating AI's Ability to Replicate AI Research","arXiv:2504.01848v3","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\benchmarks\PaperBench_2025.md"
"benchmarks","PeerRead_2018.md","A Dataset of Peer Reviews (PeerRead): Collection, Insights and NLP Applications","arXiv:1804.09635 (NAACL 2018)","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\benchmarks\PeerRead_2018.md"
"benchmarks","Reviewer2_2024.md","REVIEWER2: Optimizing Review Generation Through Prompt Generation","arXiv:2402.10886","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\benchmarks\Reviewer2_2024.md"
"benchmarks","ReviewerGPT_2023.md","ReviewerGPT? An Exploratory Study on Using Large Language Models for Paper Reviewing","arXiv:2306.00622","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\benchmarks\ReviewerGPT_2023.md"
"benchmarks","RE_Bench_2024.md","RE-Bench: Evaluating frontier AI R&D capabilities of language model agents against human experts","arXiv:2411.15114","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\benchmarks\RE_Bench_2024.md"
"benchmarks","RINoBench_2026.md","Is this Idea Novel? An Automated Benchmark for Judgment of Research Ideas","arXiv:2603.10303","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\benchmarks\RINoBench_2026.md"
"benchmarks","SciAgentGym_2026.md","SciAgentGym: Benchmarking Multi-Step Scientific Tool-use in LLM Agents","arXiv:2602.12984","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\benchmarks\SciAgentGym_2026.md"
"benchmarks","ScienceAgentBench_2025.md","ScienceAgentBench: Toward Rigorous Assessment of Language Agents for Data-Driven Scientific Discovery","arXiv:2410.05080","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\benchmarks\ScienceAgentBench_2025.md"
"benchmarks","SimpleQA_2024.md","Measuring short-form factuality in large language models (SimpleQA)","arXiv:2411.04368","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\benchmarks\SimpleQA_2024.md"
"benchmarks","Sparks_of_Science_2025.md","Sparks of Science: Hypothesis Generation Using Structured Paper Data","arXiv:2504.12976","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\benchmarks\Sparks_of_Science_2025.md"
"benchmarks","SUPER_2024.md","SUPER: Evaluating Agents on Setting Up and Executing Tasks from Research Repositories","arXiv:2409.07440 (EMNLP 2024)","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\benchmarks\SUPER_2024.md"
"infrastructure","GStack_2025.md","GStack: Virtual Engineering Team for Claude Code","https://github.com/garrytan/gstack (MIT License)","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\infrastructure\GStack_2025.md"
"infrastructure","Gemini_for_Science_2026.md","Gemini for Science: AI experiments and tools for a new era of discovery","Google Blog, published 2026-05-19","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\infrastructure\Gemini_for_Science_2026.md"
"infrastructure","Perplexity_Skills_Guide_2026.md","Designing, Refining, and Maintaining Agent Skills at Perplexity","https://research.perplexity.ai/articles/designing-refining-and-maintaining-agent-skills-at-perplexity","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\infrastructure\Perplexity_Skills_Guide_2026.md"
"memory","A_MEM_2025.md","A-MEM: Agentic Memory for LLM Agents","arXiv:2502.12110","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\memory\A_MEM_2025.md"
"memory","Collaborative_Memory_2025.md","Collaborative Memory: Multi-User Memory Sharing in LLM Agents with Dynamic Access Control","arXiv:2505.18279","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\memory\Collaborative_Memory_2025.md"
"memory","Generative_Agents_2023.md","Generative Agents: Interactive Simulacra of Human Behavior","arXiv:2304.03442 (UIST '23)","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\memory\Generative_Agents_2023.md"
"memory","Graph_Agent_Memory_2025.md","Graph-based Agent Memory: Taxonomy, Techniques, and Applications","arXiv:2602.05665","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\memory\Graph_Agent_Memory_2025.md"
"memory","Intrinsic_Memory_Agents_2025.md","Intrinsic Memory Agents: Heterogeneous Multi-Agent LLM Systems through Structured Contextual Memory","arXiv:2508.08997","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\memory\Intrinsic_Memory_Agents_2025.md"
"memory","MemGPT_2023.md","MemGPT: Towards LLMs as Operating Systems","arXiv:2310.08560","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\memory\MemGPT_2023.md"
"memory","Memory_Sandbox_2023.md","Memory Sandbox: Transparent and Interactive Memory Management for Conversational Agents","arXiv:2308.01542","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\memory\Memory_Sandbox_2023.md"
"memory","Memory_Warning_2026.md","Useful Memories Become Faulty When Continuously Updated by LLMs","arXiv:2605.12978","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\memory\Memory_Warning_2026.md"
"memory","Mesh_Memory_Protocol_2025.md","Mesh Memory Protocol: Semantic Infrastructure for Multi-Agent LLM Systems","arXiv:2604.19540","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\memory\Mesh_Memory_Protocol_2025.md"
"memory","MIRIX_2025.md","MIRIX: Multi-Agent Memory System for LLM-Based Agents","arXiv:2507.07957","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\memory\MIRIX_2025.md"
"skills-ecosystem","Agent_Skills_Spec_2026.md","Agent Skills Specification","https://agentskills.io/specification","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\skills-ecosystem\Agent_Skills_Spec_2026.md"
"skills-ecosystem","Anthropic_Skills_Spec_2025.md","Anthropic Agent Skills 仓库与规范","https://github.com/anthropics/skills (138k+ stars as of 2026-05-21)","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\skills-ecosystem\Anthropic_Skills_Spec_2025.md"
"skills-ecosystem","AWM_2024.md","Agent Workflow Memory (AWM)","arXiv:2409.07429","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\skills-ecosystem\AWM_2024.md"
"skills-ecosystem","Buffer_of_Thoughts_2024.md","Buffer of Thoughts: Thought-Augmented Reasoning with Large Language Models","NeurIPS 2024 Spotlight; arXiv:2406.04271","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\skills-ecosystem\Buffer_of_Thoughts_2024.md"
"skills-ecosystem","ExpeL_2024.md","ExpeL: LLM Agents Are Experiential Learners","AAAI 2024 (doi:10.1609/aaai.v38i17.29936), arXiv: 2308.10144","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\skills-ecosystem\ExpeL_2024.md"
"skills-ecosystem","Reflexion_2023.md","Reflexion: Language Agents with Verbal Reinforcement Learning","arXiv:2303.11366","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\skills-ecosystem\Reflexion_2023.md"
"skills-ecosystem","SkillsBench_2025.md","SkillsBench: Benchmarking How Well Agent Skills Work Across Diverse Tasks","arXiv: 2602.12670","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\skills-ecosystem\SkillsBench_2025.md"
"skills-ecosystem","Toolformer_2023.md","Toolformer: Language Models Can Teach Themselves to Use Tools","NeurIPS 2023; arXiv:2302.04761","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\skills-ecosystem\Toolformer_2023.md"
"skills-ecosystem","ToolLLM_2024.md","ToolLLM: Facilitating Large Language Models to Master 16000+ Real-World APIs","ICLR 2024; arXiv:2307.16789","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\skills-ecosystem\ToolLLM_2024.md"
"skills-ecosystem","Voyager_2023.md","Voyager: An Open-Ended Embodied Agent with Large Language Models","arXiv:2305.16291","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\skills-ecosystem\Voyager_2023.md"
"surveys","CUHK_Agent_Skills_Survey_2026.md","A Comprehensive Survey on Agent Skills: Taxonomy, Techniques, and Applications","arXiv:2605.07358 (8 May 2026)","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\surveys\CUHK_Agent_Skills_Survey_2026.md"
"surveys","Memory_Age_Survey_2025.md","Memory in the Age of AI Agents: A Survey — Forms, Functions and Dynamics","arXiv:2512.13564v2","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\surveys\Memory_Age_Survey_2025.md"
"surveys","Memory_Autonomous_Survey_2025.md","Memory for Autonomous LLM Agents: Mechanisms, Evaluation, and Emerging Frontiers","arXiv:2603.07670","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\surveys\Memory_Autonomous_Survey_2025.md"
"surveys","Osmani_Agent_Skills_2026.md","Addy Osmani's Agent Skills — 生产级工程技能库","https://github.com/addyosmani/agent-skills (44.2k+ stars as of 2026-05-21)","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\surveys\Osmani_Agent_Skills_2026.md"
"surveys","Self_Driving_Labs_ChemRev_2024.md","Self-Driving Laboratories for Chemistry and Materials Science","Chemical Reviews, doi:10.1021/acs.chemrev.4c00055","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\surveys\Self_Driving_Labs_ChemRev_2024.md"
"systems","Adaptive_AI_Decision_Interface_2025.md","Adaptive AI Decision Interface for Autonomous Electronic Material Discovery","Nature Chemical Engineering, doi:10.1038/s44286-025-00318-3","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\systems\Adaptive_AI_Decision_Interface_2025.md"
"systems","AFION_Plasmonic_SDL_2025.md","Self-Driving Lab for the Photochemical Synthesis of Plasmonic Nanoparticles with Targeted Structural and Optical Properties","Nature Communications, doi:10.1038/s41467-025-56788-9","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\systems\AFION_Plasmonic_SDL_2025.md"
"systems","Agent_Laboratory_2024.md","Agent Laboratory: Using LLM Agents as Research Assistants","arXiv:2501.04227","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\systems\Agent_Laboratory_2024.md"
"systems","AlphaProof_Nexus_2026.md","Advancing Mathematics Research with AI-Driven Formal Proof Search","arXiv:2605.22763v1; https://github.com/google-deepmind/alphaproof-nexus-results","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\systems\AlphaProof_Nexus_2026.md"
"systems","AI_Researcher_HKU_2025.md","AI-Researcher: Autonomous Scientific Innovation","https://github.com/HKUDS/AI-Researcher; arXiv: 2505.18705","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\systems\AI_Researcher_HKU_2025.md"
"systems","AI_Scientist_2024.md","The AI Scientist: Towards Fully Automated Open-Ended Scientific Discovery","arXiv:2408.06292","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\systems\AI_Scientist_2024.md"
"systems","AI_Scientist_Nature_2026.md","Towards end-to-end automation of AI research","Nature, Vol 651, 26 March 2026, doi:10.1038/s41586-026-10265-5","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\systems\AI_Scientist_Nature_2026.md"
"systems","ALab_2023.md","An autonomous laboratory for the accelerated synthesis of inorganic materials","Nature, doi:10.1038/s41586-023-06734-w; correction doi:10.1038/s41586-025-09992-y","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\systems\ALab_2023.md"
"systems","AlphaEvolve_2025.md","AlphaEvolve: A Coding Agent for Scientific and Algorithmic Discovery","arXiv:2506.13131","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\systems\AlphaEvolve_2025.md"
"systems","ARA_2026.md","The Last Human-Written Paper: Agent-Native Research Artifacts","arXiv:2604.24658v2","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\systems\ARA_2026.md"
"systems","BioMedAgent_2026.md","Empowering AI Data Scientists Using a Multi-Agent LLM Framework with Self-Evolving Capabilities for Autonomous, Tool-Aware Biomedical Data Analyses","Nature Biomedical Engineering, doi:10.1038/s41551-026-01634-6; PubMed:41912700; code:https://github.com/BOBQWERA/BioMedAgent","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\systems\BioMedAgent_2026.md"
"systems","Causal_Hypothesis_LLM_2025.md","Large Language Models for Causal Hypothesis Generation in Science","Machine Learning: Science and Technology, doi:10.1088/2632-2153/ada47f","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\systems\Causal_Hypothesis_LLM_2025.md"
"systems","CellVoyager_2026.md","CellVoyager: AI CompBio Agent Generates New Insights by Autonomously Analyzing Biological Data","Nature Methods, doi:10.1038/s41592-026-03029-6","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\systems\CellVoyager_2026.md"
"systems","Climate_Self_Evolving_Agent_2025.md","A Self-Evolving AI Agent System for Climate Science","arXiv:2507.17311","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\systems\Climate_Self_Evolving_Agent_2025.md"
